1,150000.00
2,200000.50
3,180000.75
4,220000.00
5,170000.25
6,250000.00
7,190000.00
8,210000.50
9,230000.75
10,240000.00
11,210000.00
12,180000.50
13,220000.00
14,200000.25
15,190000.00
16,230000.50
17,240000.00
18,210000.00
19,250000.00
20,230000.75
21,220000.00
22,210000.00
23,240000.50
24,250000.00
25,230000.00
26,210000.25
27,240000.00
28,250000.50
29,230000.00
30,220000.75
31,240000.00
32,230000.50
33,210000.00
34,240000.00
35,250000.00
36,230000.50
37,220000.75
38,240000.00
39,250000.00
40,230000.00
